method,algo,problem,lambda,mu-lambda_ratio,sigma0,alpha_mu,rescale_sigma0,BestSol_mean
Morris,CMA,Problem6,604,0.64,0.1,2.4,0,97130.5
Morris,CMA,Problem6,604,0.64,0.1,2.4,0.6,98783.33333
Morris,CMA,Problem6,604,0.64,1.24,0,0,100187.4333
Morris,CMA,Problem6,604,0.64,1.24,2.4,0,100820.7667
Morris,CMA,Problem6,604,1,0.48,1.6,0.4,100936.7
Morris,CMA,Problem6,604,1,1.62,1.6,0.8,100429.2
Morris,CMA,Problem6,802,0.1,0.1,0,0.4,100263.9667
Morris,CMA,Problem6,802,0.1,1.24,0,0.4,101464.4
Morris,CMA,Problem6,802,0.1,1.24,2.4,0.4,98988.93333
Morris,CMA,Problem6,802,0.1,1.24,2.4,1,97715.2
Morris,CMA,Problem6,802,0.28,0.86,0.8,0.6,103046.9667
Morris,CMA,Problem6,802,0.28,2,0.8,0.6,103029
Morris,CMA,Problem6,802,0.28,2,3.2,0.6,100014.0667
Morris,CMA,Problem6,802,0.64,0.1,0,0.4,103471.1667
Morris,CMA,Problem6,802,0.82,0.86,0.8,0.6,101484.5667
Morris,CMA,Problem6,802,0.82,0.86,1.6,0.6,98208.5
Morris,CMA,Problem6,802,0.82,0.86,4,0,96104.53333
Morris,CMA,Problem6,802,0.82,0.86,4,0.6,98767.83333
Morris,CMA,Problem6,802,0.82,2,1.6,0.6,98803.5
Morris,CMA,Problem6,802,0.82,2,4,0,94760.2
Morris,CMA,Problem7,10,0.1,0.1,2.4,0.6,6.564176957
Morris,CMA,Problem7,10,0.46,0.48,1.6,0.4,-28.36268038
Morris,CMA,Problem7,10,0.46,0.48,4,0.2,-32.70170323
Morris,CMA,Problem7,10,0.46,0.48,4,0.4,-19.09784142
Morris,CMA,Problem7,10,0.46,1.62,4,0.4,-19.09521392
Morris,CMA,Problem7,10,0.46,1.62,4,1,-22.28680128
Morris,CMA,Problem7,10,0.64,0.1,2.4,0.6,7.813959319
Morris,CMA,Problem7,10,1,0.48,1.6,0.2,-9.080256999
Morris,CMA,Problem7,10,1,0.48,1.6,0.4,23.5097188
Morris,CMA,Problem7,10,1,0.48,1.6,0.8,-12.27260636
Morris,CMA,Problem7,10,1,0.48,4,0.2,8.50744407
Morris,CMA,Problem7,10,1,1.62,1.6,0.8,-17.40172884
Morris,CMA,Problem7,1000,0.1,0.1,0.8,0,2.715832432
Morris,CMA,Problem7,1000,0.1,0.1,0.8,0.6,23.96464838
Morris,CMA,Problem7,1000,0.1,0.1,3.2,0.6,8.81149242
Morris,CMA,Problem7,1000,0.1,0.86,0.8,0.2,-5.833168948
Morris,CMA,Problem7,1000,0.1,1.24,3.2,0.6,23.14398201
Morris,CMA,Problem7,1000,0.1,2,0.8,0.2,-2.440598256
Morris,CMA,Problem7,1000,0.1,2,3.2,0.2,-12.86325655
Morris,CMA,Problem7,1000,0.1,2,3.2,0.8,5.236693736
Morris,CMA,Problem7,1000,0.46,0.1,4,0.6,-3.250049397
Morris,CMA,Problem7,1000,1,0.1,4,0.6,25.49370514
Morris,CMA,Problem7,1000,1,1.24,4,0.6,-6.227953162
Morris,CMA,Problem7,208,0.1,1.24,2.4,1,0.983590062
Morris,CMA,Problem7,208,0.28,0.86,1.6,0.6,15.20517579
Morris,CMA,Problem7,208,0.28,2,1.6,0.6,12.71032044
Morris,CMA,Problem7,208,0.28,2,3.2,0,-4.573783572
Morris,CMA,Problem7,208,0.28,2,3.2,0.6,-22.77988108
Morris,CMA,Problem7,208,0.82,0.86,1.6,0,-15.7752502
Morris,CMA,Problem7,208,0.82,0.86,1.6,0.6,1.722817072
Morris,CMA,Problem7,208,0.82,0.86,4,0,1.48766115
